vibration_rms,temperature,rpm,acoustic_db,risk
5.728558597657069,68.58083170447411,1784.1265987587665,80.54367456706765,0
4.5407784180554245,73.38560143969538,1992.199127765229,82.47627666504884,0
,67.76456904043259,2004.504218011112,81.23175926570302,0
7.641910648370888,72.70193483330685,2118.1575864608512,82.80801672503544,1
5.287698265430253,61.64685046156258,,84.14339875715524,0
4.934038230008016,75.54978642327171,2148.141818461833,88.34861794532554,0
7.419680827496972,76.51087454955042,1323.9020920993062,83.7153638451772,1
6.900157978881578,67.29078284293414,1842.5288619090477,78.65749717292162,1
4.139370184571811,79.0025245287139,1877.9315393871136,89.56027138598064,0
6.329299734562401,,2158.33170651781,81.65163946553984,1
4.160842061605668,63.52242565205963,2005.6577131692168,84.76511829158149,0
4.516916848650061,,1648.6092365359284,86.78614602776284,0
5.3061621249538256,66.8731650893744,1753.751718545746,85.79844167361114,0
2.102153541686898,66.781848724021,2049.670002386852,89.3767181900859,0
2.223929992499346,82.87028162345896,1980.2331645338609,86.91601257357104,0
4.828995721728889,73.51170365066342,1855.2189725910637,81.55476168121157,0
3.1142903004440967,71.27334200021892,1879.7915526220047,,0
5.101254872618557,59.65657799343413,2174.0419992898223,85.77733385335293,0
4.698460669640738,79.01113335318661,1870.5768567826965,84.41063909351398,0
3.370468230324229,67.77772011376054,,88.85570169222228,0
6.005916304035813,77.79672323575801,2542.4841470201354,85.99780378372029,1
4.378706179664995,,1644.0793407790193,86.5969127717573,0
4.195297638250859,87.92677882386386,1537.0393171063354,,0
2.387532373972187,,2195.897416199652,83.89951428697981,0
2.614168580095206,,1830.3392346764745,83.72895642393041,0
5.097889095717828,78.68737680098268,1920.440618064345,85.46631404804985,0
2.70253872428589,89.7723374747783,1804.7109054672212,89.28606374232416,0
5.593499655916728,84.52879006624408,1935.0499648081216,78.97386387923841,0
3.2864813356805307,74.12034238493133,2399.6345280240853,77.13777643409398,0
4.603915301896105,70.94221022636137,2200.53211465453,82.6515389175194,0
3.889981942595741,82.69211554994195,2215.5558779717444,78.46430816376285,0
,68.63008054371569,1645.9432360518383,83.30067460989744,0
,79.56740975342737,1712.211565861783,87.00999878451717,0
3.806106408071291,78.23181263088966,1290.2303351286432,81.43700454579094,0
6.070510477824177,80.51644690656966,1797.6547947293116,,1
4.536777753587223,77.68281043084922,2129.2366289370925,88.45017393846068,0
1.358715499398505,70.458897543555,,78.22010624593355,0
2.965829376707822,,1994.4249290704868,88.28092959322393,0
6.422310908264245,63.82590737740932,1827.7786143561489,88.2692248149533,1
,69.62758875404917,2051.189720600446,88.81634040862652,0
5.165429800180315,71.40064281136047,2191.469569870153,89.87392085948674,0
4.105572398361735,70.41846009701712,,93.80805569863848,0
5.0213092492512565,76.40541612663135,,83.57563180552378,0
3.258805141613536,67.1781999004198,,,0
,84.14854317671487,1896.2249277591577,83.3342462670079,0
3.994431507136638,75.67787502384327,2175.175153030146,85.00790737902324,0
,75.24012652625282,,91.13149342254523,1
9.737732618300416,98.06315516890383,2773.914301753277,79.61994206427732,1
2.397376017836366,,2098.326762501331,81.5558013113377,0
4.945922289452941,78.94294109397141,1815.485729084652,90.50872374601823,0
,69.0182635119059,2045.3127906505129,89.08014602760836,0
3.772771641085724,68.72854581890427,2115.067906245576,83.54747341273169,0
5.672936345669194,70.92643302528076,2048.7105850675343,88.41760800448287,0
6.277510019332949,62.57635487043179,1745.0761700727858,86.36486336996813,1
6.630142477094429,69.09624953793681,2051.5904428313625,91.00109843600396,1
,70.85637062080545,2365.5489846794094,85.29803837530709,0
4.39210342096762,79.4721602697237,2112.158941128632,89.10252845549033,0
5.588401611261087,77.81754735480382,2240.49679726796,95.56804764197048,0
5.967554170131223,74.38930709474211,1940.747007496843,87.39239662018987,0
,82.01691573512109,,85.19731266317937,0
4.796812781426591,,2069.816959554132,,0
2.5889741093122174,79.45208442197368,1762.272317578192,83.53887656718446,0
3.703536941064175,76.84675315624031,2079.6302511997187,94.55187082209892,0
,,1752.0758341399223,85.72028415078393,0
7.079514942459452,,1841.779931278802,83.90826671909795,1
5.474190687897134,55.07495979122224,2047.3320768230933,81.65724397991985,0
,74.57639123145101,,,0
5.559620731855869,86.70548824519996,1702.6918837307178,88.46874965131096,0
3.851070866651279,81.8809038538278,,83.01058251434362,0
,82.06182659381308,2143.001569575118,87.30580538048969,0
7.644402338603264,83.21436949167366,1823.817891097279,78.96577612714857,1
